"","Site","Site_Code","Date","Lat","Long","Watershed","Watershed_Level","Status","Location","Turbidity","TSS","ChlA","DOC","DTN","pH","ANC","SC","Na","NH4","K","Mg","Ca","F","Cl","NO3","PO4","SO4"
"45","Chambers Outflow","CHD",2021-06-23,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",5,0.8,NA,3.42,0.42,7.14,344.81,48.59,1.52,0.03,0.83,1.06,6.21,0.05,0.58,0.09,0,3.99
"46","Peterson Outlet","PTRO",2021-06-30,40.56063874,-105.7929021,"Peterson Reservoir",0.305506263817244,"Burned","Outflow",13,0.7,2.34,7.54,0.98,6.92,210.85,39.86,1.51,0.09,1.25,0.73,5.16,0.06,0.71,0,0,6.28
"47","Peterson Reservoir","PTRR",2021-06-30,40.55936515,-105.7940034,"Peterson Reservoir",0.305506263817244,"Burned","Reservoir",15.5,1.7,2.17,7.73,0.97,6.95,179.26,38.2,1.47,0.08,1.21,0.73,4.93,0.04,0.76,0.01,0,6.27
"48","Barnes Meadow Outflow","BMD",2021-06-30,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",7,4.1,0.81,7.01,0.7,7.11,377.93,74.78,2.31,0.08,1.17,1.51,10.26,0.03,1.37,0.07,0,10.16
"49","Barnes Meadow Reservoir","BRNR",2021-06-30,40.599908,-105.830604,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Reservoir",16,1.6,1.1,7.19,0.7,7.1,405,67.26,2.38,0.06,1.21,1.51,10.27,0.03,1.37,0.01,0,10.54
"50","Chambers Reservoir","CBRR",2021-06-30,40.60438415,-105.8432698,"Chambers Reservoir",0.191350672099311,"Burned","Reservoir",12,1.9,3.47,3.3,0.53,7.19,310.29,40.11,1.25,0.05,0.7,0.92,5.18,0.08,0.45,0.01,0,3.11
"51","Chambers Outflow","CHD",2021-06-30,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",8,3.6,1.05,3.1,0.83,7.1,356.2,46.71,1.65,0.05,0.87,1.04,6.56,0.09,0.51,0.01,0,3.47
"52","Peterson Reservoir","PTRR",2021-07-07,40.55936515,-105.7940034,"Peterson Reservoir",0.305506263817244,"Burned","Reservoir",13,1.3,0.49,7.51,0.62,6.74,171.36,40.99,1.58,0.16,1.18,0.76,4.87,0.02,0.74,0.11,0,6.48
"53","Peterson Outlet","PTRO",2021-07-07,40.56063874,-105.7929021,"Peterson Reservoir",0.305506263817244,"Burned","Outflow",1.8,0,0.51,7.22,0.55,7,136.86,40.25,1.64,0.15,1.24,0.76,5.21,0.02,0.76,0.12,0,6.53
"54","Barnes Meadow Outflow","BMD",2021-07-07,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",13,7.3,0.5,7.03,0.51,6.81,415.86,76.7,2.36,0.15,1.17,1.49,9.96,0.04,1.67,0.18,0,10.53
