Date,Ta_C,SM_5,SM_20,SM_50
2019-03-20,-0.6591353541666667,0.040128734916666665,0.099123634375,0.034992861770833335
2019-03-21,0.9617916666666666,0.04450111476041667,0.09788135437500001,0.0342213628125
2019-03-22,0.6593645864583333,0.056882052291666665,0.09948292958333334,0.03417257458333333
2019-03-23,1.2348958333333333,0.06270723458333333,0.1015687125,0.033700058125
2019-03-24,0.16828124895833332,0.05068410166666667,0.101347081875,0.03341295708333333
2019-03-25,0.4590208334375,0.06501094458333333,0.102449546875,0.032919526666666664
2019-03-26,4.207968739583333,0.053701420572916665,0.10208565520833333,0.032924925729166665
2019-03-27,8.406031197916667,0.097579139375,0.106122359375,0.03294272291666667
2019-03-28,8.292197875,0.222412921875,0.11275332708333334,0.03258152125
2019-03-29,0.8064895834375,0.24243811041666666,0.11581730729166667,0.033713320625
2019-03-30,-4.655802083333334,0.206393353125,0.119383809375,0.0319901953125
2019-03-31,-2.66498953125,0.20340183020833333,0.125231809375,0.031750812291666666
2019-04-01,0.8671458333333334,0.18995698020833332,0.13815566770833335,0.0318143496875
2019-04-02,-0.492489584375,0.19926085416666667,0.15248120208333332,0.03205525729166667
2019-04-03,2.614093740625,0.234322971875,0.177406859375,0.0317811915625
2019-04-04,4.125208270833333,0.22449711458333332,0.20995272291666667,0.031911020625
2019-04-05,6.312947884375,0.21242016666666666,0.21035918020833333,0.031594065208333334
2019-04-06,5.325406156354167,0.196542690625,0.20669772916666668,0.031389703645833336
2019-04-07,7.176760375,0.17283888708333334,0.202412625,0.0303059559375
2019-04-08,9.355145739583334,0.1586459934375,0.19874502916666667,0.0297177378125
2019-04-09,10.800947864583334,0.13963871020833332,0.19454053333333332,0.0288941025
2019-04-10,-1.5613958333333333,0.13394669479166665,0.1884583125,0.02727339125
2019-04-11,-5.758677072916667,0.14092448958333334,0.18617239375,0.0317808315625
2019-04-12,-4.19845821875,0.15422878645833332,0.18929187395833333,0.031219062708333332
2019-04-13,-2.0936979166666667,0.16597174375,0.19180236770833334,0.031385822291666664
2019-04-14,3.55372915625,0.19048863958333334,0.19723248125,0.031992491354166666
2019-04-15,7.384468729166667,0.23074269270833334,0.21903779166666668,0.03222573552083333
2019-04-16,6.555124915625,0.20910663645833333,0.22386761041666667,0.030652616770833335
2019-04-17,6.0454374375,0.183784759375,0.217022025,0.029945281458333334
2019-04-18,5.7572915927083335,0.15448577936458333,0.20983403333333334,0.0304378803125
2019-04-19,9.352031229166666,0.13642300426041667,0.203708871875,0.03125914197916667
2019-04-20,11.115354010416667,0.11208393365625,0.19846109270833334,0.03084108875
2019-04-21,6.48433321875,0.09957875052083333,0.19368886041666666,0.0309381196875
2019-04-22,1.906291665625,0.12461068530208333,0.19032361770833334,0.0321118853125
2019-04-23,4.361104156354167,0.14843172526041667,0.19118668229166666,0.033306197083333336
2019-04-24,8.051666572916666,0.14916640989583332,0.19343629583333333,0.03524179958333333
2019-04-25,6.619999927083334,0.132832720875,0.19283172604166668,0.034430084270833335
2019-04-26,8.137343635416666,0.11827323830208333,0.18891744479166667,0.032807620104166664
2019-04-27,8.73755196875,0.17542643482291667,0.20179964166666667,0.03308985447916667
2019-04-28,7.054343623958333,0.1233647375,0.20162765520833334,0.03252403479166667
2019-04-29,-4.112020833229167,0.19024523333333335,0.19938703333333332,0.033674656458333334
2019-04-30,-1.2504479166666667,0.19865765833333332,0.2038068875,0.0376017165625
2019-05-01,0.6717395834375,0.220198440625,0.22613412291666668,0.03690507104166667
2019-05-02,1.6242187302083333,0.21965361354166665,0.24129381041666667,0.03801047208333334
2019-05-03,4.565437427083333,0.22698275104166668,0.24771818958333333,0.051396037708333335
2019-05-04,5.988562468958333,0.20984027770833333,0.239584303125,0.07133696489583333
2019-05-05,7.417854166666666,0.18142629657291667,0.230576059375,0.073728645625
2019-05-06,8.360291625,0.16037501632291667,0.22316100104166667,0.07435104822916666
2019-05-07,5.9887603333333335,0.15336550510416666,0.21888276770833334,0.07409033333333333
2019-05-08,0.38846874895833333,0.1832780409375,0.21812581666666667,0.0749314765625
2019-05-09,-3.1492395833333333,0.20084686041666666,0.225593496875,0.0795581334375
2019-05-10,-0.08591666770833337,0.20877040208333333,0.23301481458333334,0.08695823760416667
2019-05-11,3.695906105208333,0.21257299479166666,0.24353365208333333,0.09721939104166667
2019-05-12,7.594135373958333,0.225710065625,0.24619886770833332,0.10365973333333334
2019-05-13,10.399593739583333,0.20047193145833334,0.235757834375,0.10184208947916666
2019-05-14,11.196885395833334,0.16927734919791668,0.22561320833333334,0.09747544385416666
2019-05-15,11.926718697916666,0.14142285833333335,0.218652221875,0.09413913364583333
2019-05-16,11.6073958125,0.11930618922916666,0.21319768020833332,0.09025465104166666
2019-05-17,7.3316457604166665,0.0938109203125,0.2086103125,0.088495555
2019-05-18,4.621333229166667,0.09318454375,0.201945953125,0.08917478885416667
2019-05-19,1.9681874977083333,0.05308744978125,0.19779826979166668,0.08840973270833333
2019-05-20,-0.8863958322916666,0.15135966479166668,0.195221909375,0.08925170072916666
2019-05-21,-0.9706354166666666,0.19286571875,0.21094885416666667,0.09075989791666667
2019-05-22,-0.30978124979166666,0.19853013125,0.230614334375,0.09623032041666667
2019-05-23,0.14121875020833333,0.19466684895833333,0.23439951875,0.10444636625
2019-05-24,5.746812416666667,0.21682083333333332,0.24167548125,0.111685996875
2019-05-25,7.603145760416667,0.19074588870833334,0.23618782083333334,0.112955196875
2019-05-26,8.764437479166666,0.16136588489583334,0.22751672395833333,0.108108915625
2019-05-27,5.8682394166666665,0.13101003146875,0.22500341458333334,0.10543794479166667
2019-05-28,3.894322895833333,0.19702675791666666,0.24394833020833334,0.11204500104166666
2019-05-29,3.5342291655208333,0.16517621652083334,0.23540968229166667,0.11476976145833333
2019-05-30,5.9792603125,0.16808813178125,0.22793511666666666,0.11211886145833333
2019-05-31,8.721885385416666,0.15524401607291666,0.22322526041666665,0.1092157125
2019-06-01,10.5873958125,0.1415690828125,0.21831919166666666,0.10570932291666667
2019-06-02,10.751843729166666,0.14780062947916667,0.21723673020833334,0.10226685208333333
2019-06-03,10.22665621875,0.16087484291666668,0.22475551979166666,0.10081291364583334
2019-06-04,11.820343729166666,0.15250408489583334,0.22020542916666666,0.1003749734375
2019-06-05,10.661781208333334,0.11602472666666667,0.21547701458333332,0.0972804953125
2019-06-06,12.64531246875,0.10448008520833334,0.20982635416666667,0.09543938229166667
2019-06-07,13.71042703125,0.06576289875,0.20525116354166667,0.091421593125
2019-06-08,12.656020739583333,0.04679282520833333,0.20085865625,0.08872081885416666
2019-06-09,6.7056145208333335,0.029114817812500002,0.19780968854166667,0.0861390328125
2019-06-10,10.342624978125,0.004641182291666664,0.1951092875,0.08356473041666666
2019-06-11,12.077062354166667,NA,0.19163273854166668,0.08096174833333333
2019-06-12,11.39107290625,NA,0.18379356770833333,0.07763453416666667
2019-06-13,14.3515,NA,0.18063979479166667,0.07448959979166667
2019-06-14,13.385614520833334,NA,0.17398701458333332,0.06879064197916666
2019-06-15,11.179156197916667,NA,0.16798956354166666,0.07004697385416667
2019-06-16,10.8890936875,NA,0.163441078125,0.06744743322916667
2019-06-17,9.968656114583334,NA,0.15887552083333334,0.066237930625
2019-06-18,10.708854020833334,NA,0.156858946875,0.06475907739583334
2019-06-19,13.533176979166667,NA,0.15298924895833332,0.060701277604166666
2019-06-20,13.277541614583333,NA,0.154485640625,0.0540959571875
2019-06-21,8.111124697916667,NA,0.151589471875,0.051046805833333334
2019-06-22,5.111041603125,0.09354370802083334,0.142771728125,0.0520799575
2019-06-23,5.722333196875,0.1333248671875,0.1580973625,0.05325570614583333
2019-06-24,10.703843729166667,0.1047906884375,0.189295059375,0.05128827614583333
2019-06-25,12.29553121875,0.104161700625,0.190856671875,0.048624081458333336
2019-06-26,14.948218697916667,0.06447011989583333,0.18842487708333333,0.0457338546875
2019-06-27,15.521177020833333,0.046135530520833336,0.18456438020833332,0.0429322171875
2019-06-28,18.746687447916667,NA,0.17934854895833333,0.03985178166666667
2019-06-29,18.0845625,NA,0.1716933375,0.03594800697916667
2019-06-30,15.644937479166666,NA,0.168493409375,0.03449524635416667
2019-07-01,15.38130196875,NA,0.16862041979166667,0.0337495159375
2019-07-02,14.289635354166666,NA,0.16889835625,0.031915267708333334
2019-07-03,16.5065103125,NA,0.163013,0.030762302604166666
2019-07-04,15.78102078125,NA,0.16313412083333334,0.0273292528125
2019-07-05,14.906041583333334,NA,0.16131194791666667,0.024890465729166665
2019-07-06,13.160572802083333,NA,0.15819691666666666,0.021653421458333332
2019-07-07,14.83436453125,NA,0.155783103125,0.02020704875
