Date,SM_5,SM_40,SM_50,Ts_C
2017-01-04,0.37835416666666666,0.559,0.44,0.7
2017-01-05,0.3798854166666667,0.559,0.44,0.7
2017-01-06,0.38004166666666667,0.5590520833333333,0.44,0.7
2017-01-07,0.38095833333333334,0.5590937500000001,0.44,0.7
2017-01-08,0.3811979166666667,0.5594062500000001,0.44,0.7
2017-01-09,0.38275000000000003,0.5598333333333334,0.44,0.7
2017-01-10,0.38448958333333333,0.5598541666666668,0.44,0.7
2017-01-11,0.38608333333333333,0.5598229166666667,0.44,0.7
2017-01-12,0.387625,0.5598645833333333,0.44,0.7
2017-01-13,0.3886041666666667,0.5599270833333334,0.44,0.7
2017-01-14,0.389,0.5599270833333334,0.44,0.7
2017-01-15,0.38977083333333334,0.5599791666666667,0.44,0.7
2017-01-16,0.39003125,0.56,0.44,0.7
2017-01-17,0.39095833333333335,0.56,0.44,0.7
2017-01-18,0.39127083333333335,0.56,0.44,0.7
2017-01-19,0.392,0.56,0.44,0.7
2017-01-20,0.39264583333333336,0.56,0.44,0.7
2017-01-21,0.3932083333333333,0.56,0.44,0.7
2017-01-22,0.394,0.56,0.44,0.7
2017-01-23,0.3946145833333333,0.56,0.44,0.7
2017-01-24,0.3957916666666667,0.56,0.44,0.7
2017-01-25,0.39626041666666667,0.56,0.44,0.7
2017-01-26,0.3975,0.56,0.44,0.7
2017-01-27,0.39827083333333335,0.56,0.44,0.7
2017-01-28,0.3985104166666667,0.56,0.44,0.7
2017-01-29,0.39916666666666667,0.56,0.44,0.7
2017-01-30,0.3999479166666667,0.56,0.44,0.7
2017-01-31,0.4001041666666667,0.56,0.44,0.7
2017-02-01,0.40070833333333333,0.56,0.44,0.7
2017-02-02,0.40103125,0.56,0.44,0.7
2017-02-03,0.40168750000000003,0.56,0.44,0.7
2017-02-04,0.40203125,0.56,0.44,0.7
2017-02-05,0.4022604166666667,0.56,0.44,0.7
2017-02-06,0.40303125,0.56,0.44,0.7
2017-02-07,0.4039479166666667,0.56,0.44,0.7
2017-02-08,0.4047291666666667,0.56,0.4401145833333333,0.7
2017-02-09,0.40556250000000005,0.56,0.4400625,0.7
2017-02-10,0.40651041666666665,0.56,0.44003125,0.7
2017-02-11,0.40743749999999995,0.56,0.4401145833333333,0.7
2017-02-12,0.40821874999999996,0.56,0.4401145833333333,0.7
2017-02-13,0.4088958333333333,0.56,0.44007291666666665,0.7
2017-02-14,0.409,0.56,0.44009375,0.7
2017-02-15,0.40954166666666664,0.56,0.44009375,0.7
2017-02-16,0.4100833333333333,0.56,0.44005208333333334,0.7
2017-02-17,0.41093749999999996,0.56,0.440125,0.7
2017-02-18,0.41128125,0.56,0.4401145833333333,0.7
2017-02-19,0.41210416666666666,0.56,0.4400833333333333,0.7
2017-02-20,0.413,0.56,0.4401145833333333,0.7
2017-02-21,0.4134895833333333,0.56,0.4402083333333333,0.7
2017-02-22,0.41452083333333334,0.56,0.440125,0.7
2017-02-23,0.4153020833333333,0.56,0.4401041666666667,0.7
2017-02-24,0.41660416666666666,0.56,0.44013541666666667,0.7
2017-02-25,0.41733333333333333,0.56,0.4400625,0.7
2017-02-26,0.41865625,0.56,0.44021875,0.7
2017-02-27,0.41969791666666667,0.56,0.44027083333333333,0.7
2017-02-28,0.42101041666666666,0.5600833333333334,0.44077083333333333,0.7
