Reading,Receive,Value,Unit,Data Quality
2021-10-12 01:18:06,2021-10-12 01:18:20,2.93,ft,A
2021-10-12 01:02:52,2021-10-12 01:03:05,2.93,ft,A
2021-10-12 00:47:52,2021-10-12 00:48:05,2.93,ft,A
2021-10-12 00:32:52,2021-10-12 00:33:05,2.93,ft,A
2021-10-12 00:17:53,2021-10-12 00:18:20,2.93,ft,A
2021-10-12 00:17:52,2021-10-12 00:18:05,2.93,ft,A
2021-10-12 00:02:54,2021-10-12 00:03:05,2.93,ft,A
2021-10-11 23:47:52,2021-10-11 23:48:05,2.93,ft,A
2021-10-11 23:32:52,2021-10-11 23:33:05,2.93,ft,A
2021-10-11 23:17:52,2021-10-11 23:18:05,2.93,ft,A
2021-10-11 23:02:52,2021-10-11 23:03:05,2.93,ft,A
2021-10-11 22:47:55,2021-10-11 22:48:05,2.93,ft,A
2021-10-11 22:32:52,2021-10-11 22:33:05,2.93,ft,A
2021-10-11 22:17:52,2021-10-11 22:18:05,2.96,ft,A
2021-10-11 22:02:54,2021-10-11 22:03:05,2.96,ft,A
2021-10-11 21:47:54,2021-10-11 21:48:20,2.96,ft,A
2021-10-11 21:32:53,2021-10-11 21:33:20,2.96,ft,A
2021-10-11 21:17:52,2021-10-11 21:18:05,2.93,ft,A
2021-10-11 21:02:52,2021-10-11 21:03:05,2.93,ft,A
2021-10-11 20:47:52,2021-10-11 20:48:05,2.93,ft,A
2021-10-11 20:32:54,2021-10-11 20:33:05,2.93,ft,A
2021-10-11 20:17:52,2021-10-11 20:18:05,2.93,ft,A
2021-10-11 20:02:53,2021-10-11 20:03:05,2.93,ft,A
2021-10-11 19:47:54,2021-10-11 19:48:05,2.93,ft,A
2021-10-11 19:32:52,2021-10-11 19:33:05,2.90,ft,A
2021-10-11 19:17:52,2021-10-11 19:18:05,2.90,ft,A
2021-10-11 19:02:52,2021-10-11 19:03:20,2.90,ft,A
2021-10-11 18:47:52,2021-10-11 18:48:05,2.90,ft,A
2021-10-11 18:32:54,2021-10-11 18:33:05,2.90,ft,A
2021-10-11 18:17:52,2021-10-11 18:18:05,2.90,ft,A
2021-10-11 18:02:52,2021-10-11 18:03:05,2.90,ft,A
2021-10-11 17:47:52,2021-10-11 17:48:05,2.90,ft,A
2021-10-11 17:32:53,2021-10-11 17:33:20,2.90,ft,A
2021-10-11 17:17:58,2021-10-11 17:18:20,2.90,ft,A
2021-10-11 17:02:53,2021-10-11 17:03:20,2.90,ft,A
2021-10-11 16:47:53,2021-10-11 16:48:20,2.90,ft,A
2021-10-11 16:32:55,2021-10-11 16:33:05,2.90,ft,A
2021-10-11 16:17:53,2021-10-11 16:18:20,2.90,ft,A
2021-10-11 16:02:53,2021-10-11 16:03:20,2.90,ft,A
2021-10-11 15:47:53,2021-10-11 15:48:20,2.90,ft,A
2021-10-11 15:32:53,2021-10-11 15:33:20,2.90,ft,A
2021-10-11 15:17:53,2021-10-11 15:18:20,2.90,ft,A
2021-10-11 15:02:55,2021-10-11 15:03:20,2.90,ft,A
2021-10-11 15:02:54,2021-10-11 15:03:05,2.86,ft,A
2021-10-11 14:47:53,2021-10-11 14:48:05,2.90,ft,A
2021-10-11 14:32:54,2021-10-11 14:33:05,2.93,ft,A
2021-10-11 14:17:55,2021-10-11 14:18:20,2.93,ft,A
2021-10-11 14:02:52,2021-10-11 14:03:05,2.93,ft,A
2021-10-11 13:47:53,2021-10-11 13:48:20,2.93,ft,A
2021-10-11 13:32:52,2021-10-11 13:33:05,2.93,ft,A
2021-10-11 13:17:53,2021-10-11 13:18:20,2.93,ft,A
2021-10-11 13:02:53,2021-10-11 13:03:20,2.93,ft,A
2021-10-11 12:47:55,2021-10-11 12:48:20,2.93,ft,A
2021-10-11 12:32:55,2021-10-11 12:33:20,2.93,ft,A
2021-10-11 12:17:53,2021-10-11 12:18:20,2.93,ft,A
2021-10-11 12:02:56,2021-10-11 12:03:05,2.90,ft,A
2021-10-11 11:47:53,2021-10-11 11:48:20,2.90,ft,A
2021-10-11 11:32:53,2021-10-11 11:33:20,2.93,ft,A
2021-10-11 11:17:53,2021-10-11 11:18:20,2.93,ft,A
2021-10-11 11:02:52,2021-10-11 11:03:05,2.96,ft,A
2021-10-11 10:47:53,2021-10-11 10:48:20,2.96,ft,A
2021-10-11 10:32:55,2021-10-11 10:33:05,2.96,ft,A
2021-10-11 10:17:54,2021-10-11 10:18:05,2.96,ft,A
2021-10-11 10:17:53,2021-10-11 10:18:20,2.96,ft,A
2021-10-11 10:02:53,2021-10-11 10:03:20,2.96,ft,A
