Date,P_in
9/5/2011,0
9/6/2011,0.67
9/7/2011,0.79
9/8/2011,0
9/9/2011,0
9/10/2011,0
9/11/2011,0
9/12/2011,0
9/13/2011,0.01
9/14/2011,0.22
9/15/2011,0.69
9/16/2011,0
9/17/2011,0.5
9/18/2011,0
9/19/2011,0
9/20/2011,0
9/21/2011,0.06
9/22/2011,0
9/23/2011,0
9/24/2011,0
9/25/2011,0
9/26/2011,0
9/27/2011,0
9/28/2011,0
9/29/2011,0
9/30/2011,0
10/1/2011,0.04
10/2/2011,0
10/3/2011,0.08
10/4/2011,0.08
10/5/2011,0.04
10/6/2011,0.26
10/7/2011,0
10/8/2011,0.48
10/9/2011,0
10/10/2011,0
10/11/2011,0.54
10/12/2011,0.04
10/13/2011,0
10/14/2011,0
10/15/2011,0
10/16/2011,0.01
10/17/2011,0.48
10/18/2011,0
10/19/2011,0
10/20/2011,0
10/21/2011,0
10/22/2011,0.04
10/23/2011,0
10/24/2011,0
10/25/2011,0.4
10/26/2011,0.55
10/27/2011,0
10/28/2011,0
10/29/2011,0
10/30/2011,0
10/31/2011,0
11/1/2011,0.8
11/2/2011,0.27
11/3/2011,0
11/4/2011,0
11/5/2011,0.16
11/6/2011,0.16
11/7/2011,0.08
11/8/2011,0
11/9/2011,0
11/10/2011,0
11/11/2011,0
11/12/2011,0.62
11/13/2011,1.01
11/14/2011,0.14
11/15/2011,0.1
11/16/2011,0.03
11/17/2011,0
11/18/2011,0
11/19/2011,0.8
11/20/2011,0.17
11/21/2011,0.2
11/22/2011,0.08
11/23/2011,0
11/24/2011,0
11/25/2011,0.3
11/26/2011,0.12
11/27/2011,0
11/28/2011,0
11/29/2011,0
11/30/2011,0.08
12/1/2011,0.6
12/2/2011,0.1
12/3/2011,0.32
12/4/2011,0.09
12/5/2011,0.01
12/6/2011,0
12/7/2011,0
12/8/2011,0.07
12/9/2011,0
12/10/2011,0
12/11/2011,0
12/12/2011,0
12/13/2011,0
12/14/2011,0
12/15/2011,0
12/16/2011,0
12/17/2011,0
12/18/2011,0
12/19/2011,0.04
12/20/2011,0
12/21/2011,0.39
12/22/2011,0.54
12/23/2011,0
12/24/2011,0
12/25/2011,0
12/26/2011,0
12/27/2011,0
12/28/2011,0.02
12/29/2011,0.41
12/30/2011,0
12/31/2011,0.17
1/1/2012,0
1/2/2012,0
1/3/2012,0
1/4/2012,0
1/5/2012,0
1/6/2012,0
1/7/2012,0.65
1/8/2012,0
1/9/2012,0
1/10/2012,0
1/11/2012,0.26
1/12/2012,0
1/13/2012,0
1/14/2012,0
1/15/2012,0
1/16/2012,0.46
1/17/2012,0.03
1/18/2012,0.2
1/19/2012,0.78
1/20/2012,0.57
1/21/2012,0.4
1/22/2012,0.26
1/23/2012,0
1/24/2012,0.09
1/25/2012,0
1/26/2012,0.26
1/27/2012,0.2
1/28/2012,0
1/29/2012,0
1/30/2012,0
1/31/2012,0
2/1/2012,0
2/2/2012,0.47
2/3/2012,0.67
2/4/2012,0.06
2/5/2012,0
2/6/2012,0.09
2/7/2012,0.03
2/8/2012,0.04
2/9/2012,0.09
2/10/2012,0.52
2/11/2012,0.26
2/12/2012,0.17
2/13/2012,0.28
2/14/2012,0.27
2/15/2012,0
2/16/2012,0.05
2/17/2012,0.05
2/18/2012,0
2/19/2012,0.22
2/20/2012,0.13
2/21/2012,0.67
2/22/2012,1.43
2/23/2012,0.73
2/24/2012,0.15
2/25/2012,0
2/26/2012,0.05
2/27/2012,0
2/28/2012,0.5
2/29/2012,0.1
3/1/2012,0.46
3/2/2012,0.08
3/3/2012,0.3
3/4/2012,0.08
3/5/2012,0
3/6/2012,0
