Reading,Receive,Value,Unit,Data Quality
2021-10-09 13:28:53,2021-10-09 13:29:05,0.53,ft,A
2021-10-09 12:58:53,2021-10-09 12:59:06,0.52,ft,A
2021-10-09 12:28:53,2021-10-09 12:29:05,0.52,ft,A
2021-10-09 11:58:53,2021-10-09 11:59:05,0.49,ft,A
2021-10-09 11:28:53,2021-10-09 11:29:05,0.51,ft,A
2021-10-09 10:58:53,2021-10-09 10:59:05,0.52,ft,A
2021-10-09 10:28:53,2021-10-09 10:29:05,0.52,ft,A
2021-10-09 09:58:53,2021-10-09 09:59:05,0.52,ft,A
2021-10-09 09:28:53,2021-10-09 09:29:05,0.54,ft,A
2021-10-09 08:58:53,2021-10-09 08:59:06,0.53,ft,A
2021-10-09 08:28:53,2021-10-09 08:29:05,0.52,ft,A
2021-10-09 07:58:53,2021-10-09 07:59:06,0.52,ft,A
2021-10-09 07:28:53,2021-10-09 07:29:05,0.52,ft,A
2021-10-09 06:58:53,2021-10-09 06:59:05,0.49,ft,A
2021-10-09 06:28:53,2021-10-09 06:29:05,0.50,ft,A
2021-10-09 05:58:53,2021-10-09 05:59:06,0.50,ft,A
2021-10-09 05:28:53,2021-10-09 05:29:05,0.49,ft,A
2021-10-09 04:58:53,2021-10-09 04:59:06,0.50,ft,A
2021-10-09 04:28:53,2021-10-09 04:29:05,0.49,ft,A
2021-10-09 03:58:53,2021-10-09 03:59:05,0.49,ft,A
2021-10-09 03:28:54,2021-10-09 03:29:05,0.46,ft,A
2021-10-09 03:18:51,2021-10-09 03:19:05,0.48,ft,A
2021-10-09 02:48:50,2021-10-09 02:49:05,0.49,ft,A
2021-10-09 02:18:51,2021-10-09 02:19:05,0.49,ft,A
2021-10-09 01:48:51,2021-10-09 01:49:05,0.48,ft,A
2021-10-09 01:18:51,2021-10-09 01:19:05,0.47,ft,A
2021-10-09 00:48:51,2021-10-09 00:49:05,0.50,ft,A
2021-10-09 00:18:50,2021-10-09 00:19:05,0.49,ft,A
2021-10-08 23:48:51,2021-10-08 23:49:05,0.49,ft,A
2021-10-08 23:18:51,2021-10-08 23:19:05,0.48,ft,A
2021-10-08 22:48:51,2021-10-08 22:49:05,0.47,ft,A
2021-10-08 22:18:51,2021-10-08 22:19:05,0.50,ft,A
2021-10-08 21:48:50,2021-10-08 21:49:05,0.48,ft,A
2021-10-08 21:18:51,2021-10-08 21:19:05,0.50,ft,A
2021-10-08 20:48:51,2021-10-08 20:49:05,0.46,ft,A
2021-10-08 20:18:50,2021-10-08 20:19:05,0.48,ft,A
2021-10-08 19:48:51,2021-10-08 19:49:05,0.46,ft,A
2021-10-08 19:18:51,2021-10-08 19:19:05,0.48,ft,A
2021-10-08 18:48:51,2021-10-08 18:49:05,0.48,ft,A
2021-10-08 18:18:51,2021-10-08 18:19:05,0.47,ft,A
2021-10-08 17:48:50,2021-10-08 17:49:05,0.48,ft,A
2021-10-08 17:18:51,2021-10-08 17:19:05,0.48,ft,A
2021-10-08 16:48:51,2021-10-08 16:49:05,0.48,ft,A
2021-10-08 16:18:51,2021-10-08 16:19:05,0.48,ft,A
2021-10-08 15:48:51,2021-10-08 15:49:05,0.48,ft,A
2021-10-08 15:18:51,2021-10-08 15:19:05,0.46,ft,A
2021-10-08 14:48:51,2021-10-08 14:49:05,0.47,ft,A
2021-10-08 14:18:51,2021-10-08 14:19:05,0.48,ft,A
2021-10-08 13:48:51,2021-10-08 13:49:05,0.48,ft,A
2021-10-08 13:18:51,2021-10-08 13:19:05,0.44,ft,A
2021-10-08 12:48:51,2021-10-08 12:49:05,0.47,ft,A
2021-10-08 12:18:51,2021-10-08 12:19:05,0.47,ft,A
2021-10-08 11:48:51,2021-10-08 11:49:05,0.46,ft,A
2021-10-08 11:18:51,2021-10-08 11:19:05,0.48,ft,A
2021-10-08 10:48:51,2021-10-08 10:49:05,0.48,ft,A
2021-10-08 10:18:51,2021-10-08 10:19:05,0.46,ft,A
2021-10-08 09:48:51,2021-10-08 09:49:05,0.46,ft,A
2021-10-08 09:18:51,2021-10-08 09:19:05,0.46,ft,A
2021-10-08 08:48:51,2021-10-08 08:49:05,0.46,ft,A
2021-10-08 08:18:51,2021-10-08 08:19:05,0.48,ft,A
2021-10-08 07:48:51,2021-10-08 07:49:05,0.48,ft,A
2021-10-08 07:18:51,2021-10-08 07:19:05,0.46,ft,A
2021-10-08 06:48:51,2021-10-08 06:49:05,0.48,ft,A
2021-10-08 06:18:51,2021-10-08 06:19:05,0.48,ft,A
2021-10-08 05:48:51,2021-10-08 05:49:05,0.47,ft,A
2021-10-08 05:18:51,2021-10-08 05:19:05,0.46,ft,A
2021-10-08 04:48:51,2021-10-08 04:49:05,0.46,ft,A
2021-10-08 04:18:51,2021-10-08 04:19:05,0.47,ft,A
2021-10-08 03:48:51,2021-10-08 03:49:05,0.48,ft,A
2021-10-08 03:18:51,2021-10-08 03:19:05,0.48,ft,A
2021-10-08 02:48:51,2021-10-08 02:49:05,0.50,ft,A
2021-10-08 02:18:51,2021-10-08 02:19:05,0.50,ft,A
2021-10-08 01:48:51,2021-10-08 01:49:05,0.50,ft,A
2021-10-08 01:18:51,2021-10-08 01:19:05,0.49,ft,A
2021-10-08 00:48:51,2021-10-08 00:49:05,0.51,ft,A
2021-10-08 00:18:51,2021-10-08 00:19:05,0.51,ft,A
2021-10-07 23:48:51,2021-10-07 23:49:05,0.49,ft,A
2021-10-07 23:18:51,2021-10-07 23:19:05,0.49,ft,A
2021-10-07 22:48:51,2021-10-07 22:49:05,0.49,ft,A
2021-10-07 22:18:51,2021-10-07 22:19:05,0.50,ft,A
2021-10-07 21:48:51,2021-10-07 21:49:05,0.48,ft,A
2021-10-07 21:18:51,2021-10-07 21:19:05,0.49,ft,A
2021-10-07 20:48:51,2021-10-07 20:49:05,0.50,ft,A
2021-10-07 20:18:51,2021-10-07 20:19:05,0.50,ft,A
2021-10-07 19:48:51,2021-10-07 19:49:05,0.51,ft,A
2021-10-07 19:18:51,2021-10-07 19:19:05,0.50,ft,A
2021-10-07 18:48:51,2021-10-07 18:49:05,0.51,ft,A
2021-10-07 18:18:51,2021-10-07 18:19:05,0.51,ft,A
2021-10-07 17:48:51,2021-10-07 17:49:05,0.49,ft,A
2021-10-07 17:18:51,2021-10-07 17:19:05,0.50,ft,A
2021-10-07 16:48:51,2021-10-07 16:49:05,0.52,ft,A
2021-10-07 16:18:51,2021-10-07 16:19:05,0.52,ft,A
2021-10-07 15:48:51,2021-10-07 15:49:05,0.51,ft,A
2021-10-07 15:18:51,2021-10-07 15:19:05,0.52,ft,A
2021-10-07 14:48:51,2021-10-07 14:49:05,0.51,ft,A
2021-10-07 14:18:51,2021-10-07 14:19:05,0.50,ft,A
2021-10-07 13:48:51,2021-10-07 13:49:05,0.51,ft,A
2021-10-07 13:18:52,2021-10-07 13:19:05,0.51,ft,A
2021-10-07 12:48:51,2021-10-07 12:49:05,0.54,ft,A
2021-10-07 12:18:51,2021-10-07 12:19:05,0.52,ft,A
2021-10-07 11:48:51,2021-10-07 11:49:05,0.49,ft,A
2021-10-07 11:18:51,2021-10-07 11:19:05,0.52,ft,A
2021-10-07 10:48:52,2021-10-07 10:49:05,0.52,ft,A
2021-10-07 10:18:51,2021-10-07 10:19:05,0.50,ft,A
2021-10-07 09:48:51,2021-10-07 09:49:05,0.49,ft,A
2021-10-07 09:18:51,2021-10-07 09:19:05,0.50,ft,A
2021-10-07 08:48:51,2021-10-07 08:49:05,0.50,ft,A
2021-10-07 08:18:52,2021-10-07 08:19:05,0.51,ft,A
2021-10-07 07:48:51,2021-10-07 07:49:05,0.50,ft,A
2021-10-07 07:18:51,2021-10-07 07:19:05,0.50,ft,A
2021-10-07 06:48:52,2021-10-07 06:49:05,0.50,ft,A
2021-10-07 06:18:51,2021-10-07 06:19:05,0.50,ft,A
2021-10-07 05:48:52,2021-10-07 05:49:05,0.48,ft,A
2021-10-07 05:18:51,2021-10-07 05:19:05,0.50,ft,A
2021-10-07 04:48:51,2021-10-07 04:49:05,0.50,ft,A
2021-10-07 04:18:52,2021-10-07 04:19:05,0.50,ft,A
2021-10-07 03:48:51,2021-10-07 03:49:05,0.50,ft,A
2021-10-07 03:18:52,2021-10-07 03:19:05,0.51,ft,A
2021-10-07 02:48:51,2021-10-07 02:49:05,0.51,ft,A
2021-10-07 02:18:51,2021-10-07 02:19:05,0.49,ft,A
2021-10-07 01:48:52,2021-10-07 01:49:05,0.48,ft,A
2021-10-07 01:18:51,2021-10-07 01:19:05,0.49,ft,A
2021-10-07 00:48:52,2021-10-07 00:49:05,0.49,ft,A
2021-10-07 00:18:51,2021-10-07 00:19:05,0.52,ft,A
2021-10-06 23:48:51,2021-10-06 23:49:05,0.50,ft,A
2021-10-06 23:18:52,2021-10-06 23:19:05,0.50,ft,A
2021-10-06 22:48:51,2021-10-06 22:49:05,0.50,ft,A
2021-10-06 22:18:52,2021-10-06 22:19:05,0.49,ft,A
2021-10-06 21:48:52,2021-10-06 21:49:05,0.49,ft,A
2021-10-06 21:18:51,2021-10-06 21:19:05,0.49,ft,A
2021-10-06 20:48:52,2021-10-06 20:49:05,0.50,ft,A
2021-10-06 20:18:51,2021-10-06 20:19:05,0.51,ft,A
2021-10-06 19:48:52,2021-10-06 19:49:05,0.49,ft,A
2021-10-06 19:18:52,2021-10-06 19:19:05,0.50,ft,A
2021-10-06 18:48:51,2021-10-06 18:49:05,0.51,ft,A
2021-10-06 18:18:52,2021-10-06 18:19:05,0.49,ft,A
2021-10-06 17:48:51,2021-10-06 17:49:05,0.51,ft,A
2021-10-06 17:18:52,2021-10-06 17:19:05,0.50,ft,A
2021-10-06 16:48:51,2021-10-06 16:49:05,0.50,ft,A
2021-10-06 16:18:51,2021-10-06 16:19:05,0.51,ft,A
2021-10-06 15:48:52,2021-10-06 15:49:05,0.52,ft,A
2021-10-06 15:18:51,2021-10-06 15:19:05,0.50,ft,A
2021-10-06 14:48:52,2021-10-06 14:49:05,0.51,ft,A
2021-10-06 14:18:52,2021-10-06 14:19:05,0.52,ft,A
2021-10-06 13:48:52,2021-10-06 13:49:05,0.53,ft,A
2021-10-06 13:18:52,2021-10-06 13:19:05,0.50,ft,A
2021-10-06 12:48:51,2021-10-06 12:49:05,0.51,ft,A
2021-10-06 12:18:52,2021-10-06 12:19:05,0.48,ft,A
2021-10-06 11:48:52,2021-10-06 11:49:05,0.51,ft,A
2021-10-06 11:18:52,2021-10-06 11:19:05,0.50,ft,A
2021-10-06 10:48:52,2021-10-06 10:49:05,0.51,ft,A
2021-10-06 10:18:51,2021-10-06 10:19:05,0.51,ft,A
2021-10-06 09:48:52,2021-10-06 09:49:05,0.50,ft,A
2021-10-06 09:18:51,2021-10-06 09:19:05,0.51,ft,A
2021-10-06 08:48:52,2021-10-06 08:49:05,0.51,ft,A
2021-10-06 08:18:52,2021-10-06 08:19:05,0.49,ft,A
2021-10-06 07:48:51,2021-10-06 07:49:05,0.51,ft,A
2021-10-06 07:18:52,2021-10-06 07:19:05,0.52,ft,A
2021-10-06 06:48:51,2021-10-06 06:49:05,0.51,ft,A
2021-10-06 06:18:52,2021-10-06 06:19:05,0.51,ft,A
2021-10-06 05:48:52,2021-10-06 05:49:05,0.52,ft,A
2021-10-06 05:18:51,2021-10-06 05:19:05,0.49,ft,A
2021-10-06 04:48:52,2021-10-06 04:49:05,0.53,ft,A
2021-10-06 04:18:51,2021-10-06 04:19:05,0.49,ft,A
2021-10-06 03:48:52,2021-10-06 03:49:05,0.51,ft,A
2021-10-06 03:18:52,2021-10-06 03:19:05,0.49,ft,A
2021-10-06 02:48:51,2021-10-06 02:49:05,0.52,ft,A
2021-10-06 02:18:52,2021-10-06 02:19:05,0.52,ft,A
2021-10-06 01:48:52,2021-10-06 01:49:05,0.49,ft,A
2021-10-06 01:18:52,2021-10-06 01:19:05,0.48,ft,A
2021-10-06 00:48:52,2021-10-06 00:49:05,0.48,ft,A
2021-10-06 00:18:51,2021-10-06 00:19:05,0.52,ft,A
2021-10-05 23:48:52,2021-10-05 23:49:05,0.48,ft,A
2021-10-05 23:18:52,2021-10-05 23:19:05,0.51,ft,A
2021-10-05 22:48:52,2021-10-05 22:49:05,0.52,ft,A
2021-10-05 22:18:52,2021-10-05 22:19:05,0.51,ft,A
2021-10-05 21:48:52,2021-10-05 21:49:05,0.51,ft,A
2021-10-05 21:18:52,2021-10-05 21:19:05,0.50,ft,A
2021-10-05 20:48:52,2021-10-05 20:49:05,0.51,ft,A
2021-10-05 20:18:51,2021-10-05 20:19:05,0.50,ft,A
2021-10-05 19:48:52,2021-10-05 19:49:05,0.53,ft,A
2021-10-05 19:18:52,2021-10-05 19:19:05,0.53,ft,A
2021-10-05 18:48:52,2021-10-05 18:49:05,0.48,ft,A
2021-10-05 18:18:52,2021-10-05 18:19:05,0.51,ft,A
2021-10-05 17:48:51,2021-10-05 17:49:05,0.52,ft,A
2021-10-05 17:18:52,2021-10-05 17:19:05,0.52,ft,A
