Reading,Receive,Value,Unit,Data Quality
2021-10-05 05:57:58,2021-10-05 05:58:20,56.62,cfs,A
2021-10-05 05:01:25,2021-10-05 05:01:50,56.30,cfs,A
2021-10-05 03:58:06,2021-10-05 03:58:20,55.99,cfs,A
2021-10-05 03:02:39,2021-10-05 03:02:50,56.30,cfs,A
2021-10-05 02:01:14,2021-10-05 02:01:35,56.30,cfs,A
2021-10-05 01:00:13,2021-10-05 01:00:37,56.62,cfs,A
2021-10-05 00:02:41,2021-10-05 00:03:20,56.30,cfs,A
2021-10-05 00:02:40,2021-10-05 00:02:50,56.30,cfs,A
2021-10-04 23:02:26,2021-10-04 23:02:35,56.62,cfs,A
2021-10-04 21:59:04,2021-10-04 21:59:20,56.94,cfs,A
2021-10-04 21:02:39,2021-10-04 21:02:50,56.62,cfs,A
2021-10-04 19:59:38,2021-10-04 19:59:50,55.67,cfs,A
2021-10-04 19:01:25,2021-10-04 19:01:35,56.62,cfs,A
2021-10-04 18:00:30,2021-10-04 18:00:50,56.94,cfs,A
2021-10-04 16:59:05,2021-10-04 16:59:20,56.94,cfs,A
2021-10-04 16:01:02,2021-10-04 16:01:20,57.25,cfs,A
2021-10-04 15:01:55,2021-10-04 15:02:05,57.57,cfs,A
2021-10-04 14:00:10,2021-10-04 14:00:20,56.94,cfs,A
2021-10-04 12:58:46,2021-10-04 12:59:06,57.25,cfs,A
2021-10-04 12:01:30,2021-10-04 12:01:50,57.57,cfs,A
2021-10-04 10:59:43,2021-10-04 11:00:05,57.57,cfs,A
2021-10-04 10:01:13,2021-10-04 10:01:35,57.57,cfs,A
2021-10-04 08:59:31,2021-10-04 08:59:50,56.94,cfs,A
2021-10-04 07:59:55,2021-10-04 08:00:05,56.94,cfs,A
2021-10-04 07:01:33,2021-10-04 07:01:50,55.99,cfs,A
2021-10-04 05:58:45,2021-10-04 05:59:05,56.62,cfs,A
2021-10-04 05:02:08,2021-10-04 05:02:20,56.30,cfs,A
2021-10-04 04:01:27,2021-10-04 04:01:35,56.30,cfs,A
2021-10-04 02:58:14,2021-10-04 02:58:35,56.94,cfs,A
2021-10-04 02:02:05,2021-10-04 02:02:20,57.25,cfs,A
2021-10-04 01:01:17,2021-10-04 01:01:35,56.62,cfs,A
2021-10-03 23:59:48,2021-10-04 00:00:21,57.25,cfs,A
2021-10-03 22:58:22,2021-10-03 22:58:35,56.62,cfs,A
2021-10-03 22:00:09,2021-10-03 22:00:21,56.94,cfs,A
2021-10-03 21:00:14,2021-10-03 21:00:50,57.25,cfs,A
