date_time,tip
7/16/2017 16:36,71.6
7/16/2017 16:36,71.7
7/16/2017 16:37,71.8
7/16/2017 16:37,71.9
7/16/2017 16:37,72
7/16/2017 16:38,72.1
7/16/2017 16:43,72.2
7/16/2017 17:47,72.3
7/16/2017 17:48,72.4
7/16/2017 17:50,72.5
7/20/2017 15:02,72.6
7/20/2017 15:45,72.7
7/20/2017 16:43,72.8
7/20/2017 16:48,72.9
7/20/2017 16:49,73
7/20/2017 16:50,73.1
7/20/2017 16:52,73.2
7/20/2017 16:53,73.3
7/20/2017 16:56,73.4
7/20/2017 17:38,73.5
7/20/2017 18:26,73.6
7/20/2017 18:38,73.7
7/20/2017 18:46,73.8
7/20/2017 19:01,73.9
7/20/2017 19:08,74
7/20/2017 19:12,74.1
7/20/2017 19:13,74.2
7/20/2017 19:15,74.3
7/20/2017 19:16,74.4
7/20/2017 19:21,74.5
7/20/2017 19:35,74.6
7/21/2017 3:37,74.7
7/21/2017 18:05,74.8
7/21/2017 18:19,74.9
7/21/2017 18:25,75
7/21/2017 18:29,75.1
7/21/2017 18:34,75.2
7/21/2017 18:39,75.3
7/21/2017 18:43,75.4
7/21/2017 18:46,75.5
7/21/2017 18:49,75.6
7/21/2017 18:52,75.7
7/21/2017 18:55,75.8
7/21/2017 18:58,75.9
7/21/2017 19:14,76
7/21/2017 20:04,76.1
7/21/2017 20:10,76.2
7/21/2017 20:15,76.3
7/21/2017 20:20,76.4
7/21/2017 20:26,76.5
7/21/2017 20:35,76.6
7/21/2017 23:10,76.7
7/23/2017 15:35,76.8
7/25/2017 14:41,76.9
7/25/2017 15:55,77
7/25/2017 15:57,77.1
7/25/2017 15:59,77.2
7/25/2017 16:03,77.3
7/25/2017 16:23,77.4
7/25/2017 16:25,77.5
7/25/2017 16:26,77.6
7/25/2017 16:27,77.7
7/25/2017 16:28,77.8
7/25/2017 16:30,77.9
7/25/2017 16:31,78
7/25/2017 16:33,78.1
7/25/2017 16:34,78.2
7/25/2017 16:40,78.3
7/25/2017 16:52,78.4
7/25/2017 18:41,78.5
7/25/2017 18:49,78.6
7/25/2017 18:51,78.7
7/25/2017 18:53,78.8
7/25/2017 18:55,78.9
7/25/2017 18:57,79
7/25/2017 18:57,79.1
7/25/2017 18:59,79.2
7/25/2017 19:00,79.3
7/25/2017 19:03,79.4
7/25/2017 19:08,79.5
7/25/2017 19:56,79.6
7/25/2017 21:25,79.7
7/25/2017 21:41,79.8
7/25/2017 21:44,79.9
7/25/2017 21:46,80
7/25/2017 21:48,80.1
7/25/2017 21:49,80.2
7/25/2017 21:50,80.3
7/25/2017 21:51,80.4
7/25/2017 21:52,80.5
7/25/2017 21:52,80.6
7/25/2017 21:52,80.7
7/25/2017 21:53,80.8
7/25/2017 21:54,80.9
7/25/2017 21:54,81
7/25/2017 21:55,81.1
7/25/2017 21:57,81.2
7/25/2017 21:57,81.3
7/25/2017 21:58,81.4
7/25/2017 21:59,81.5
7/25/2017 22:00,81.6
7/25/2017 22:01,81.7
7/25/2017 22:02,81.8
7/25/2017 22:04,81.9
7/25/2017 22:07,82
7/25/2017 22:09,82.1
7/25/2017 22:12,82.2
7/25/2017 22:14,82.3
7/25/2017 22:16,82.4
7/25/2017 22:18,82.5
7/25/2017 22:20,82.6
7/25/2017 22:28,82.7
7/25/2017 22:38,82.8
7/25/2017 23:02,82.9
7/25/2017 23:09,83
7/25/2017 23:14,83.1
7/25/2017 23:23,83.2
7/25/2017 23:28,83.3
7/25/2017 23:30,83.4
7/25/2017 23:32,83.5
7/25/2017 23:36,83.6
7/25/2017 23:41,83.7
7/25/2017 23:48,83.8
7/25/2017 23:52,83.9
7/25/2017 23:56,84
7/25/2017 23:59,84.1
7/26/2017 1:52,84.2
7/26/2017 5:18,84.3
7/26/2017 5:19,84.4
7/26/2017 5:20,84.5
7/26/2017 5:21,84.6
7/26/2017 5:21,84.7
7/26/2017 5:21,84.8
7/26/2017 5:22,84.9
7/26/2017 5:22,85
7/26/2017 5:23,85.1
7/26/2017 5:23,85.2
7/26/2017 5:24,85.3
7/26/2017 5:25,85.4
7/26/2017 5:26,85.5
7/26/2017 5:27,85.6
7/26/2017 5:29,85.7
7/26/2017 5:31,85.8
7/26/2017 5:32,85.9
7/26/2017 5:32,86
7/26/2017 5:33,86.1
7/26/2017 5:34,86.2
7/26/2017 5:36,86.3
7/26/2017 5:49,86.4
7/26/2017 6:46,86.5
7/26/2017 6:55,86.6
7/26/2017 7:13,86.7
7/26/2017 7:36,86.8
7/26/2017 7:46,86.9
7/26/2017 7:55,87
7/26/2017 8:08,87.1
7/26/2017 9:43,87.2
7/26/2017 10:31,87.3
7/26/2017 11:38,87.4
7/26/2017 11:39,87.5
7/26/2017 11:51,87.6
7/26/2017 13:08,87.7
7/26/2017 15:59,87.8
7/26/2017 15:59,87.9
7/26/2017 16:00,88
7/26/2017 16:00,88.1
7/26/2017 16:01,88.2
7/26/2017 16:01,88.3
7/26/2017 16:01,88.4
7/26/2017 16:02,88.5
7/26/2017 16:02,88.6
7/26/2017 16:02,88.7
7/26/2017 16:02,88.8
7/26/2017 16:03,88.9
7/26/2017 16:03,89
7/26/2017 16:04,89.1
7/26/2017 16:04,89.2
7/26/2017 16:05,89.3
7/26/2017 16:05,89.4
7/26/2017 16:06,89.5
7/26/2017 16:06,89.6
7/26/2017 16:07,89.7
7/26/2017 16:07,89.8
7/26/2017 16:08,89.9
7/26/2017 16:08,90
7/26/2017 16:09,90.1
7/26/2017 16:09,90.2
7/26/2017 16:10,90.3
7/26/2017 16:10,90.4
7/26/2017 16:11,90.5
7/26/2017 16:12,90.6
7/26/2017 16:13,90.7
7/26/2017 16:15,90.8
7/26/2017 17:24,90.9
7/26/2017 17:35,91
7/27/2017 6:33,91.1
7/27/2017 18:13,91.2
7/29/2017 16:56,91.3
7/29/2017 17:05,91.4
7/29/2017 17:14,91.5
7/29/2017 17:18,91.6
7/29/2017 17:22,91.7
7/29/2017 17:26,91.8
7/29/2017 17:30,91.9
7/29/2017 17:32,92
7/29/2017 17:34,92.1
7/29/2017 17:36,92.2
7/29/2017 17:39,92.3
7/29/2017 17:42,92.4
7/29/2017 17:43,92.5
7/29/2017 17:46,92.6
7/29/2017 17:48,92.7
7/29/2017 17:51,92.8
7/29/2017 17:57,92.9
7/30/2017 8:19,93
8/3/2017 4:09,93.1
8/3/2017 4:18,93.2
8/3/2017 4:22,93.3
8/3/2017 4:28,93.4
8/3/2017 4:29,93.5
8/3/2017 4:30,93.6
8/3/2017 4:33,93.7
8/3/2017 4:39,93.8
8/3/2017 4:40,93.9
8/3/2017 4:42,94
8/3/2017 4:44,94.1
8/3/2017 4:46,94.2
8/3/2017 4:47,94.3
8/3/2017 4:48,94.4
