DateTime,P_kPa,T_C
12/25/2020 8:45,78.184,0.343
12/25/2020 9:00,78.213,0.343
12/25/2020 9:15,78.213,0.343
12/25/2020 9:30,78.193,0.343
12/25/2020 9:45,78.193,0.343
12/25/2020 10:00,78.174,0.343
12/25/2020 10:15,78.164,0.343
12/25/2020 10:30,78.144,0.343
12/25/2020 10:45,78.137,0.453
12/25/2020 11:00,78.107,0.453
12/25/2020 11:15,78.087,0.453
12/25/2020 11:30,78.018,0.453
12/25/2020 11:45,78.018,0.453
12/25/2020 12:00,77.988,0.453
12/25/2020 12:15,77.981,0.563
12/25/2020 12:30,77.961,0.563
12/25/2020 12:45,77.951,0.563
12/25/2020 13:00,77.924,0.674
12/25/2020 13:15,77.875,0.674
12/25/2020 13:30,77.895,0.674
12/25/2020 13:45,77.862,0.563
12/25/2020 14:00,77.882,0.563
12/25/2020 14:15,77.862,0.563
12/25/2020 14:30,77.86,0.453
12/25/2020 14:45,77.84,0.453
12/25/2020 15:00,77.86,0.453
12/25/2020 15:15,77.85,0.453
12/25/2020 15:30,77.82,0.453
12/25/2020 15:45,77.8,0.453
12/25/2020 16:00,77.791,0.453
12/25/2020 16:15,77.8,0.453
12/25/2020 16:30,77.781,0.453
12/25/2020 16:45,77.751,0.453
12/25/2020 17:00,77.751,0.453
12/25/2020 17:15,77.761,0.453
12/25/2020 17:30,77.761,0.453
12/25/2020 17:45,77.771,0.453
12/25/2020 18:00,77.791,0.453
12/25/2020 18:15,77.778,0.343
12/25/2020 18:30,77.798,0.343
12/25/2020 18:45,77.828,0.343
12/25/2020 19:00,77.818,0.343
12/25/2020 19:15,77.818,0.343
12/25/2020 19:30,77.828,0.343
12/25/2020 19:45,77.867,0.343
12/25/2020 20:00,77.877,0.343
12/25/2020 20:15,77.877,0.343
12/25/2020 20:30,77.897,0.343
12/25/2020 20:45,77.877,0.343
12/25/2020 21:00,77.867,0.343
12/25/2020 21:15,77.837,0.343
12/25/2020 21:30,77.837,0.343
12/25/2020 21:45,77.857,0.343
12/25/2020 22:00,77.828,0.343
12/25/2020 22:15,77.818,0.343
12/25/2020 22:30,77.778,0.343
12/25/2020 22:45,77.778,0.343
12/25/2020 23:00,77.758,0.343
